Code,Location Name,Type,Nation,Province,LATLONG,Latitude,N/S,Longitude,E/W,UTM,MGRS,National Reference,Air,Sea,Road,IWW,Rail,Pipe,HNS,NSIP,POD,GLN,National ID,APP6-B Symbol,APP6-C Symbol,Classification,Releasability,Remarks,Last Change By,Last Change,Throughput,Storage Areas
AA2932,SATORALJAUJ. RH,Rail Border Crossing Point,HUN: Hungary,,482200N0213900E,48.3666687,N,21.65000153,E,34U 548142 5357259,34U EU 48142 57259,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA2940,STUROVO RH,Rail Border Crossing Point,SVK: Slovakia,,474802N0184100E,47.80055618,N,18.68333435,E,34T 326526 5296731,34T CT 26527 96732,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5275,MUSZYNA,Rail Border Crossing Point,POL: Poland,,491909N0205039E,49.31916809,N,20.84416771,E,34U 488674 5462948,34U DV 88675 62949,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5276,KOLBASKOWO RDBC,Road Border Crossing Point,POL: Poland,,532015N0142440E,53.33750153,N,14.41111183,E,33U 460788 5909977,33U VV 60789 09977,,No,No,Yes,No,No,No,No,No,No,,,,,,,ROAD CARGO,CENTRALLY MANAGED,43718.74056,,
AA5277,KUNOWICE,Rail Border Crossing Point,POL: Poland,,522034N0143829E,52.34277725,N,14.64138985,E,33U 475569 5799224,33U VT 75570 99225,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,KUNOWICE-RZEPIN- FRANKFURT,CENTRALLY MANAGED,43718.74056,"Rail:  Assets in / day
Rail:  Assets out / day",
AA5278,ZASIEKI,Rail Border Crossing Point,POL: Poland,,513912N0144046E,51.65333557,N,14.67944622,E,33U 477824 5722530,33U VT 77824 22531,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,ZASIEKI-TUPLICE-FORST,CENTRALLY MANAGED,43718.74056,"Rail:  Assets in / day
Rail:  Assets out / day",
AA5279,GUBIN,Rail Border Crossing Point,POL: Poland,,515630N0144237E,51.94166946,N,14.71027946,E,33U 480084 5754589,33U VT 80085 54590,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,Wiktor,CENTRALLY MANAGED,43718.74056,,
AA5280,ZGORZELEC,Rail Border Crossing Point,POL: Poland,,510839N0150009E,51.14416885,N,15.00249958,E,33U 500174 5665857,33U WS 00175 65857,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,ZGORZELEC - GORLITZ,CENTRALLY MANAGED,43718.74056,,
AA5281,SZCZECIN GUMIENCE,Rail Border Crossing Point,POL: Poland,,532359N0143058E,53.39972305,N,14.51611233,E,33U 467826 5916846,33U VV 67827 16847,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,SZCZECIN GUMIENCE - TANTOW,CENTRALLY MANAGED,43718.74056,"Rail:  Assets in / day
Rail:  Assets out / day",
AA5282,KOSTRZYN ,Rail Border Crossing Point,POL: Poland,,523530N0143853E,52.59166718,N,14.64805698,E,33U 476158 5826906,33U VU 76159 26907,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,Wiktor,CENTRALLY MANAGED,43718.74056,"Rail:  Assets in / day
Rail:  Assets out / day",
AA5285,ZEBRZYDOWICE,Rail Border Crossing Point,POL: Poland,,495220N0183712E,49.8722229,N,18.62000084,E,34U 328988 5527140,34U CA 28989 27140,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,ZEBRZYDOWICE - PETROWICE,CENTRALLY MANAGED,43718.74056,"Rail:  Assets in / day
Rail:  Assets out / day",
AA5305,TERESPOL BRZ PN,Rail Border Crossing Point,POL: Poland,,520550N0233730E,52.09722137,N,23.62500191,E,34U 679801 5775102,34U FC 79802 75103,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5306,TERESPOL - BRZ CENT,Rail Border Crossing Point,POL: Poland,,520500N0233830E,52.08333206,N,23.64166832,E,34U 680999 5773599,34U FC 80999 73600,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5307,KUZNICA BIALOSTOCKA,Rail Border Crossing Point,POL: Poland,,533250N0233800E,53.54722214,N,23.63333511,E,34U 674463 5936373,34U FE 74463 36373,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5308,TRAKISZKI,Rail Border Crossing Point,POL: Poland,,541550N0231340E,54.26388931,N,23.22777748,E,34U 645093 6015172,34U FF 45093 15173,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5309,SIEMIANOWKA,Rail Border Crossing Point,POL: Poland,,525719N0235528E,52.9552803,N,23.92444611,E,34U 696439 5871298,34U FD 96440 71299,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5310,CZEREMCHA,Rail Border Crossing Point,POL: Poland,,522755N0232132E,52.46527863,N,23.35889053,E,34U 660243 5815406,34U FD 60243 15406,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5311,MEDYKA,Rail Border Crossing Point,POL: Poland,,494817N0225700E,49.80472565,N,22.95000267,E,34U 640311 5518743,34U FA 40312 18743,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,MEDYKA - MOSTISKA,CENTRALLY MANAGED,43718.74056,,
AA5312,WERHRATA,Rail Border Crossing Point,POL: Poland,,501511N0233220E,50.25305557,N,23.53889084,E,34U 680987 5569851,34U FA 80987 69851,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5313,LUPKOW,Rail Border Crossing Point,POL: Poland,,491527N0220423E,49.25749969,N,22.07305527,E,34U 578079 5456635,34U EV 78080 56635,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5315,KROSCIENKO,Rail Border Crossing Point,POL: Poland,,492830N0224230E,49.47500229,N,22.70833397,E,34U 623756 5481664,34U FV 23756 81664,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5316,DOROHUSK,Rail Border Crossing Point,POL: Poland,,511100N0235130E,51.18333435,N,23.85833549,E,34U 699758 5674096,34U FB 99759 74096,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5317,HRUBIESZOW,Rail Border Crossing Point,POL: Poland,,504730N0235730E,50.79166794,N,23.95833588,E,34U 708494 5630830,34U GB 08495 30830,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5318,HREBENNE,Rail Border Crossing Point,POL: Poland,,501730N0233650E,50.29166794,N,23.61388969,E,34U 686182 5574328,34U FA 86182 74329,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5319,WEGLINIEC,Rail Border Crossing Point,POL: Poland,,511731N0151253E,51.29194641,N,15.21472263,E,33U 514972 5682312,33U WS 14972 82313,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,WEGLINIEC -  HORKA,CENTRALLY MANAGED,43718.74056,,
AA5320,RECZYN,Rail Border Crossing Point,POL: Poland,,510200N0145730E,51.03333282,N,14.95833492,E,33U 497078 5653532,33U VS 97078 53532,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5321,TRZCINIEC ZGORZELECKI,Rail Border Crossing Point,POL: Poland,,505730N0145230E,50.95833588,N,14.87500191,E,33U 491220 5645198,33U VS 91221 45199,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5322,HRADEK,Rail Border Crossing Point,POL: Poland,,505320N0144900E,50.88888931,N,14.81666851,E,33U 487104 5637485,33U VS 87105 37485,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5323,ZAWIDOW,Rail Border Crossing Point,POL: Poland,,510130N0150320E,51.02500153,N,15.05555534,E,33U 503896 5652606,33U WS 03896 52606,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5324,LUBAWKA,Rail Border Crossing Point,POL: Poland,,504120N0155830E,50.68888855,N,15.97500229,E,33U 568871 5615682,33U WS 68871 15683,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5325,MIEROSZOW,Rail Border Crossing Point,POL: Poland,,503830N0161330E,50.64166641,N,16.22500038,E,33U 586616 5610694,33U WS 86617 10694,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
